run_id,group,model,dataset,input_len,output_len,tp,request_rate,max_concurrency,rep,num_prompts,seed,instr
S2_r6_rep1,S2,Qwen/Qwen2.5-7B-Instruct,random,256,128,1,6,,1,200,1,on
S2_r6_rep2,S2,Qwen/Qwen2.5-7B-Instruct,random,256,128,1,6,,2,200,2,on
S2_r6_rep3,S2,Qwen/Qwen2.5-7B-Instruct,random,256,128,1,6,,3,200,3,on
S2_r8_rep1,S2,Qwen/Qwen2.5-7B-Instruct,random,256,128,1,8,,1,200,1,on
S2_r8_rep2,S2,Qwen/Qwen2.5-7B-Instruct,random,256,128,1,8,,2,200,2,on
S2_r8_rep3,S2,Qwen/Qwen2.5-7B-Instruct,random,256,128,1,8,,3,200,3,on
S2_rinf_rep1,S2,Qwen/Qwen2.5-7B-Instruct,random,256,128,1,inf,,1,200,1,on
S2_rinf_rep2,S2,Qwen/Qwen2.5-7B-Instruct,random,256,128,1,inf,,2,200,2,on
S2_rinf_rep3,S2,Qwen/Qwen2.5-7B-Instruct,random,256,128,1,inf,,3,200,3,on
I1_rep1,I1,Qwen/Qwen2.5-7B-Instruct,random,512,128,1,5,,1,200,1,on
I1_rep2,I1,Qwen/Qwen2.5-7B-Instruct,random,512,128,1,5,,2,200,2,on
I1_rep3,I1,Qwen/Qwen2.5-7B-Instruct,random,512,128,1,5,,3,200,3,on
I2_rep1,I2,Qwen/Qwen2.5-7B-Instruct,random,128,512,1,5,,1,200,1,on
I2_rep2,I2,Qwen/Qwen2.5-7B-Instruct,random,128,512,1,5,,2,200,2,on
I2_rep3,I2,Qwen/Qwen2.5-7B-Instruct,random,128,512,1,5,,3,200,3,on
A1b_rep1,A1b,Qwen/Qwen2.5-7B-Instruct,sharegpt,,,1,5,,1,200,1,on
A1b_rep2,A1b,Qwen/Qwen2.5-7B-Instruct,sharegpt,,,1,5,,2,200,2,on
A1b_rep3,A1b,Qwen/Qwen2.5-7B-Instruct,sharegpt,,,1,5,,3,200,3,on
P0_probe,P0,Qwen/Qwen2.5-0.5B-Instruct,sharegpt,,,1,inf,,1,200,1,on
S3_r1_rep1,S3,Qwen/Qwen2.5-0.5B-Instruct,sharegpt,,,1,1,,1,200,1,on
S3_r1_rep2,S3,Qwen/Qwen2.5-0.5B-Instruct,sharegpt,,,1,1,,2,200,2,on
S3_r1_rep3,S3,Qwen/Qwen2.5-0.5B-Instruct,sharegpt,,,1,1,,3,200,3,on
S3_r2_rep1,S3,Qwen/Qwen2.5-0.5B-Instruct,sharegpt,,,1,2,,1,200,1,on
S3_r2_rep2,S3,Qwen/Qwen2.5-0.5B-Instruct,sharegpt,,,1,2,,2,200,2,on
S3_r2_rep3,S3,Qwen/Qwen2.5-0.5B-Instruct,sharegpt,,,1,2,,3,200,3,on
S3_r4_rep1,S3,Qwen/Qwen2.5-0.5B-Instruct,sharegpt,,,1,4,,1,200,1,on
S3_r4_rep2,S3,Qwen/Qwen2.5-0.5B-Instruct,sharegpt,,,1,4,,2,200,2,on
S3_r4_rep3,S3,Qwen/Qwen2.5-0.5B-Instruct,sharegpt,,,1,4,,3,200,3,on
S3_r8_rep1,S3,Qwen/Qwen2.5-0.5B-Instruct,sharegpt,,,1,8,,1,200,1,on
S3_r8_rep2,S3,Qwen/Qwen2.5-0.5B-Instruct,sharegpt,,,1,8,,2,200,2,on
S3_r8_rep3,S3,Qwen/Qwen2.5-0.5B-Instruct,sharegpt,,,1,8,,3,200,3,on
S3_r12_rep1,S3,Qwen/Qwen2.5-0.5B-Instruct,sharegpt,,,1,12,,1,200,1,on
S3_r12_rep2,S3,Qwen/Qwen2.5-0.5B-Instruct,sharegpt,,,1,12,,2,200,2,on
S3_r12_rep3,S3,Qwen/Qwen2.5-0.5B-Instruct,sharegpt,,,1,12,,3,200,3,on
S3_r16_rep1,S3,Qwen/Qwen2.5-0.5B-Instruct,sharegpt,,,1,16,,1,200,1,on
S3_r16_rep2,S3,Qwen/Qwen2.5-0.5B-Instruct,sharegpt,,,1,16,,2,200,2,on
S3_r16_rep3,S3,Qwen/Qwen2.5-0.5B-Instruct,sharegpt,,,1,16,,3,200,3,on
S3_r24_rep1,S3,Qwen/Qwen2.5-0.5B-Instruct,sharegpt,,,1,24,,1,200,1,on
S3_r24_rep2,S3,Qwen/Qwen2.5-0.5B-Instruct,sharegpt,,,1,24,,2,200,2,on
S3_r24_rep3,S3,Qwen/Qwen2.5-0.5B-Instruct,sharegpt,,,1,24,,3,200,3,on
S3_r32_rep1,S3,Qwen/Qwen2.5-0.5B-Instruct,sharegpt,,,1,32,,1,200,1,on
S3_r32_rep2,S3,Qwen/Qwen2.5-0.5B-Instruct,sharegpt,,,1,32,,2,200,2,on
S3_r32_rep3,S3,Qwen/Qwen2.5-0.5B-Instruct,sharegpt,,,1,32,,3,200,3,on
S3_rinf_rep1,S3,Qwen/Qwen2.5-0.5B-Instruct,sharegpt,,,1,inf,,1,200,1,on
S3_rinf_rep2,S3,Qwen/Qwen2.5-0.5B-Instruct,sharegpt,,,1,inf,,2,200,2,on
S3_rinf_rep3,S3,Qwen/Qwen2.5-0.5B-Instruct,sharegpt,,,1,inf,,3,200,3,on
A1c_rep1,A1c,Qwen/Qwen2.5-7B-Instruct,sharegpt,,,1,5,,1,200,1,on
A1c_rep2,A1c,Qwen/Qwen2.5-7B-Instruct,sharegpt,,,1,5,,2,200,2,on
A1c_rep3,A1c,Qwen/Qwen2.5-7B-Instruct,sharegpt,,,1,5,,3,200,3,on
S2b_r5_rep1,S2b,Qwen/Qwen2.5-7B-Instruct,random,256,128,1,5,,1,200,1,on
S2b_r5_rep2,S2b,Qwen/Qwen2.5-7B-Instruct,random,256,128,1,5,,2,200,2,on
S2b_r5_rep3,S2b,Qwen/Qwen2.5-7B-Instruct,random,256,128,1,5,,3,200,3,on
S2b_r10_rep1,S2b,Qwen/Qwen2.5-7B-Instruct,random,256,128,1,10,,1,200,1,on
S2b_r10_rep2,S2b,Qwen/Qwen2.5-7B-Instruct,random,256,128,1,10,,2,200,2,on
S2b_r10_rep3,S2b,Qwen/Qwen2.5-7B-Instruct,random,256,128,1,10,,3,200,3,on
S2b_r12_rep1,S2b,Qwen/Qwen2.5-7B-Instruct,random,256,128,1,12,,1,200,1,on
S2b_r12_rep2,S2b,Qwen/Qwen2.5-7B-Instruct,random,256,128,1,12,,2,200,2,on
S2b_r12_rep3,S2b,Qwen/Qwen2.5-7B-Instruct,random,256,128,1,12,,3,200,3,on
S2b_r16_rep1,S2b,Qwen/Qwen2.5-7B-Instruct,random,256,128,1,16,,1,200,1,on
S2b_r16_rep2,S2b,Qwen/Qwen2.5-7B-Instruct,random,256,128,1,16,,2,200,2,on
S2b_r16_rep3,S2b,Qwen/Qwen2.5-7B-Instruct,random,256,128,1,16,,3,200,3,on
S2b_r20_rep1,S2b,Qwen/Qwen2.5-7B-Instruct,random,256,128,1,20,,1,200,1,on
S2b_r20_rep2,S2b,Qwen/Qwen2.5-7B-Instruct,random,256,128,1,20,,2,200,2,on
S2b_r20_rep3,S2b,Qwen/Qwen2.5-7B-Instruct,random,256,128,1,20,,3,200,3,on
C2_c1_rep1,C2,Qwen/Qwen2.5-7B-Instruct,sharegpt,,,1,inf,1,1,60,1,on
C2_c1_rep2,C2,Qwen/Qwen2.5-7B-Instruct,sharegpt,,,1,inf,1,2,60,2,on
C2_c1_rep3,C2,Qwen/Qwen2.5-7B-Instruct,sharegpt,,,1,inf,1,3,60,3,on
C2_c2_rep1,C2,Qwen/Qwen2.5-7B-Instruct,sharegpt,,,1,inf,2,1,60,1,on
C2_c2_rep2,C2,Qwen/Qwen2.5-7B-Instruct,sharegpt,,,1,inf,2,2,60,2,on
C2_c2_rep3,C2,Qwen/Qwen2.5-7B-Instruct,sharegpt,,,1,inf,2,3,60,3,on
C2_c4_rep1,C2,Qwen/Qwen2.5-7B-Instruct,sharegpt,,,1,inf,4,1,120,1,on
C2_c4_rep2,C2,Qwen/Qwen2.5-7B-Instruct,sharegpt,,,1,inf,4,2,120,2,on
C2_c4_rep3,C2,Qwen/Qwen2.5-7B-Instruct,sharegpt,,,1,inf,4,3,120,3,on
C2_c8_rep1,C2,Qwen/Qwen2.5-7B-Instruct,sharegpt,,,1,inf,8,1,120,1,on
C2_c8_rep2,C2,Qwen/Qwen2.5-7B-Instruct,sharegpt,,,1,inf,8,2,120,2,on
C2_c8_rep3,C2,Qwen/Qwen2.5-7B-Instruct,sharegpt,,,1,inf,8,3,120,3,on
C2_c16_rep1,C2,Qwen/Qwen2.5-7B-Instruct,sharegpt,,,1,inf,16,1,200,1,on
C2_c16_rep2,C2,Qwen/Qwen2.5-7B-Instruct,sharegpt,,,1,inf,16,2,200,2,on
C2_c16_rep3,C2,Qwen/Qwen2.5-7B-Instruct,sharegpt,,,1,inf,16,3,200,3,on
C2_c32_rep1,C2,Qwen/Qwen2.5-7B-Instruct,sharegpt,,,1,inf,32,1,200,1,on
C2_c32_rep2,C2,Qwen/Qwen2.5-7B-Instruct,sharegpt,,,1,inf,32,2,200,2,on
C2_c32_rep3,C2,Qwen/Qwen2.5-7B-Instruct,sharegpt,,,1,inf,32,3,200,3,on
C2_c64_rep1,C2,Qwen/Qwen2.5-7B-Instruct,sharegpt,,,1,inf,64,1,200,1,on
C2_c64_rep2,C2,Qwen/Qwen2.5-7B-Instruct,sharegpt,,,1,inf,64,2,200,2,on
C2_c64_rep3,C2,Qwen/Qwen2.5-7B-Instruct,sharegpt,,,1,inf,64,3,200,3,on
A1d_rep1,A1d,Qwen/Qwen2.5-7B-Instruct,sharegpt,,,1,5,,1,200,1,on
A1d_rep2,A1d,Qwen/Qwen2.5-7B-Instruct,sharegpt,,,1,5,,2,200,2,on
A1d_rep3,A1d,Qwen/Qwen2.5-7B-Instruct,sharegpt,,,1,5,,3,200,3,on
G1_r1_rep1,G1,Qwen/Qwen2.5-7B-Instruct,sharegpt,,,1,1,,1,200,1,on
G1_r1_rep2,G1,Qwen/Qwen2.5-7B-Instruct,sharegpt,,,1,1,,2,200,2,on
G1_r1_rep3,G1,Qwen/Qwen2.5-7B-Instruct,sharegpt,,,1,1,,3,200,3,on
G1_r2_rep1,G1,Qwen/Qwen2.5-7B-Instruct,sharegpt,,,1,2,,1,200,1,on
G1_r2_rep2,G1,Qwen/Qwen2.5-7B-Instruct,sharegpt,,,1,2,,2,200,2,on
G1_r2_rep3,G1,Qwen/Qwen2.5-7B-Instruct,sharegpt,,,1,2,,3,200,3,on
G1_r3_rep1,G1,Qwen/Qwen2.5-7B-Instruct,sharegpt,,,1,3,,1,200,1,on
G1_r3_rep2,G1,Qwen/Qwen2.5-7B-Instruct,sharegpt,,,1,3,,2,200,2,on
G1_r3_rep3,G1,Qwen/Qwen2.5-7B-Instruct,sharegpt,,,1,3,,3,200,3,on
G1_r4_rep1,G1,Qwen/Qwen2.5-7B-Instruct,sharegpt,,,1,4,,1,200,1,on
G1_r4_rep2,G1,Qwen/Qwen2.5-7B-Instruct,sharegpt,,,1,4,,2,200,2,on
G1_r4_rep3,G1,Qwen/Qwen2.5-7B-Instruct,sharegpt,,,1,4,,3,200,3,on
G1_r5_rep1,G1,Qwen/Qwen2.5-7B-Instruct,sharegpt,,,1,5,,1,200,1,on
G1_r5_rep2,G1,Qwen/Qwen2.5-7B-Instruct,sharegpt,,,1,5,,2,200,2,on
G1_r5_rep3,G1,Qwen/Qwen2.5-7B-Instruct,sharegpt,,,1,5,,3,200,3,on
G1_r6_rep1,G1,Qwen/Qwen2.5-7B-Instruct,sharegpt,,,1,6,,1,200,1,on
G1_r6_rep2,G1,Qwen/Qwen2.5-7B-Instruct,sharegpt,,,1,6,,2,200,2,on
G1_r6_rep3,G1,Qwen/Qwen2.5-7B-Instruct,sharegpt,,,1,6,,3,200,3,on
G1_r8_rep1,G1,Qwen/Qwen2.5-7B-Instruct,sharegpt,,,1,8,,1,200,1,on
G1_r8_rep2,G1,Qwen/Qwen2.5-7B-Instruct,sharegpt,,,1,8,,2,200,2,on
G1_r8_rep3,G1,Qwen/Qwen2.5-7B-Instruct,sharegpt,,,1,8,,3,200,3,on
G1_rinf_rep1,G1,Qwen/Qwen2.5-7B-Instruct,sharegpt,,,1,inf,,1,200,1,on
G1_rinf_rep2,G1,Qwen/Qwen2.5-7B-Instruct,sharegpt,,,1,inf,,2,200,2,on
G1_rinf_rep3,G1,Qwen/Qwen2.5-7B-Instruct,sharegpt,,,1,inf,,3,200,3,on
G2_r1_rep1,G2,Qwen/Qwen2.5-7B-Instruct,sharegpt,,,2,1,,1,200,1,on
G2_r1_rep2,G2,Qwen/Qwen2.5-7B-Instruct,sharegpt,,,2,1,,2,200,2,on
G2_r1_rep3,G2,Qwen/Qwen2.5-7B-Instruct,sharegpt,,,2,1,,3,200,3,on
G2_r2_rep1,G2,Qwen/Qwen2.5-7B-Instruct,sharegpt,,,2,2,,1,200,1,on
G2_r2_rep2,G2,Qwen/Qwen2.5-7B-Instruct,sharegpt,,,2,2,,2,200,2,on
G2_r2_rep3,G2,Qwen/Qwen2.5-7B-Instruct,sharegpt,,,2,2,,3,200,3,on
G2_r3_rep1,G2,Qwen/Qwen2.5-7B-Instruct,sharegpt,,,2,3,,1,200,1,on
G2_r3_rep2,G2,Qwen/Qwen2.5-7B-Instruct,sharegpt,,,2,3,,2,200,2,on
G2_r3_rep3,G2,Qwen/Qwen2.5-7B-Instruct,sharegpt,,,2,3,,3,200,3,on
G2_r4_rep1,G2,Qwen/Qwen2.5-7B-Instruct,sharegpt,,,2,4,,1,200,1,on
G2_r4_rep2,G2,Qwen/Qwen2.5-7B-Instruct,sharegpt,,,2,4,,2,200,2,on
G2_r4_rep3,G2,Qwen/Qwen2.5-7B-Instruct,sharegpt,,,2,4,,3,200,3,on
G2_r5_rep1,G2,Qwen/Qwen2.5-7B-Instruct,sharegpt,,,2,5,,1,200,1,on
G2_r5_rep2,G2,Qwen/Qwen2.5-7B-Instruct,sharegpt,,,2,5,,2,200,2,on
G2_r5_rep3,G2,Qwen/Qwen2.5-7B-Instruct,sharegpt,,,2,5,,3,200,3,on
G2_r6_rep1,G2,Qwen/Qwen2.5-7B-Instruct,sharegpt,,,2,6,,1,200,1,on
G2_r6_rep2,G2,Qwen/Qwen2.5-7B-Instruct,sharegpt,,,2,6,,2,200,2,on
G2_r6_rep3,G2,Qwen/Qwen2.5-7B-Instruct,sharegpt,,,2,6,,3,200,3,on
G2_r8_rep1,G2,Qwen/Qwen2.5-7B-Instruct,sharegpt,,,2,8,,1,200,1,on
G2_r8_rep2,G2,Qwen/Qwen2.5-7B-Instruct,sharegpt,,,2,8,,2,200,2,on
G2_r8_rep3,G2,Qwen/Qwen2.5-7B-Instruct,sharegpt,,,2,8,,3,200,3,on
G2_rinf_rep1,G2,Qwen/Qwen2.5-7B-Instruct,sharegpt,,,2,inf,,1,200,1,on
G2_rinf_rep2,G2,Qwen/Qwen2.5-7B-Instruct,sharegpt,,,2,inf,,2,200,2,on
G2_rinf_rep3,G2,Qwen/Qwen2.5-7B-Instruct,sharegpt,,,2,inf,,3,200,3,on
G4_r1_rep1,G4,Qwen/Qwen2.5-7B-Instruct,sharegpt,,,4,1,,1,200,1,on
G4_r1_rep2,G4,Qwen/Qwen2.5-7B-Instruct,sharegpt,,,4,1,,2,200,2,on
G4_r1_rep3,G4,Qwen/Qwen2.5-7B-Instruct,sharegpt,,,4,1,,3,200,3,on
G4_r2_rep1,G4,Qwen/Qwen2.5-7B-Instruct,sharegpt,,,4,2,,1,200,1,on
G4_r2_rep2,G4,Qwen/Qwen2.5-7B-Instruct,sharegpt,,,4,2,,2,200,2,on
G4_r2_rep3,G4,Qwen/Qwen2.5-7B-Instruct,sharegpt,,,4,2,,3,200,3,on
G4_r3_rep1,G4,Qwen/Qwen2.5-7B-Instruct,sharegpt,,,4,3,,1,200,1,on
G4_r3_rep2,G4,Qwen/Qwen2.5-7B-Instruct,sharegpt,,,4,3,,2,200,2,on
G4_r3_rep3,G4,Qwen/Qwen2.5-7B-Instruct,sharegpt,,,4,3,,3,200,3,on
G4_r4_rep1,G4,Qwen/Qwen2.5-7B-Instruct,sharegpt,,,4,4,,1,200,1,on
G4_r4_rep2,G4,Qwen/Qwen2.5-7B-Instruct,sharegpt,,,4,4,,2,200,2,on
G4_r4_rep3,G4,Qwen/Qwen2.5-7B-Instruct,sharegpt,,,4,4,,3,200,3,on
G4_r5_rep1,G4,Qwen/Qwen2.5-7B-Instruct,sharegpt,,,4,5,,1,200,1,on
G4_r5_rep2,G4,Qwen/Qwen2.5-7B-Instruct,sharegpt,,,4,5,,2,200,2,on
G4_r5_rep3,G4,Qwen/Qwen2.5-7B-Instruct,sharegpt,,,4,5,,3,200,3,on
G4_r6_rep1,G4,Qwen/Qwen2.5-7B-Instruct,sharegpt,,,4,6,,1,200,1,on
G4_r6_rep2,G4,Qwen/Qwen2.5-7B-Instruct,sharegpt,,,4,6,,2,200,2,on
G4_r6_rep3,G4,Qwen/Qwen2.5-7B-Instruct,sharegpt,,,4,6,,3,200,3,on
G4_r8_rep1,G4,Qwen/Qwen2.5-7B-Instruct,sharegpt,,,4,8,,1,200,1,on
G4_r8_rep2,G4,Qwen/Qwen2.5-7B-Instruct,sharegpt,,,4,8,,2,200,2,on
G4_r8_rep3,G4,Qwen/Qwen2.5-7B-Instruct,sharegpt,,,4,8,,3,200,3,on
G4_rinf_rep1,G4,Qwen/Qwen2.5-7B-Instruct,sharegpt,,,4,inf,,1,200,1,on
G4_rinf_rep2,G4,Qwen/Qwen2.5-7B-Instruct,sharegpt,,,4,inf,,2,200,2,on
G4_rinf_rep3,G4,Qwen/Qwen2.5-7B-Instruct,sharegpt,,,4,inf,,3,200,3,on
