run_id,session,start_ts,end_ts,model,dataset,tp,request_rate,max_concurrency,instr,rep,command,result_json,status,notes
BOOT3_Qwen2.5-7B-Instruct_tp1,A,1785350006.441,1785350097.271,Qwen/Qwen2.5-7B-Instruct,random,1,inf,,on,0,"vllm bench serve --model Qwen/Qwen2.5-7B-Instruct --host 127.0.0.1 --port 8000 --dataset-name random --num-prompts 20 --request-rate inf --seed 42 --random-input-len 128 --random-output-len 64 --num-warmups 30 --temperature 0 --ignore-eos --percentile-metrics ttft,tpot,itl,e2el --metric-percentiles 50,95,99 --save-result --result-dir results/raw/sessionA/bench --result-filename BOOT3_Qwen2.5-7B-Instruct_tp1.json",,boot_warmup,discard
S1_r1_rep1,A,1785350097.276,1785350404.635,Qwen/Qwen2.5-7B-Instruct,sharegpt,1,1,,on,1,"vllm bench serve --model Qwen/Qwen2.5-7B-Instruct --host 127.0.0.1 --port 8000 --dataset-name sharegpt --num-prompts 200 --request-rate 1 --seed 1 --dataset-path /workspace/ShareGPT_V3_unfiltered_cleaned_split.json --num-warmups 30 --temperature 0 --ignore-eos --percentile-metrics ttft,tpot,itl,e2el --metric-percentiles 50,95,99 --save-result --result-dir results/raw/sessionA/bench --result-filename S1_r1_rep1.json",results/raw/sessionA/bench/S1_r1_rep1.json,ok,achieved=0.94
S1_r1_rep2,A,1785350406.663,1785350722.046,Qwen/Qwen2.5-7B-Instruct,sharegpt,1,1,,on,2,"vllm bench serve --model Qwen/Qwen2.5-7B-Instruct --host 127.0.0.1 --port 8000 --dataset-name sharegpt --num-prompts 200 --request-rate 1 --seed 2 --dataset-path /workspace/ShareGPT_V3_unfiltered_cleaned_split.json --num-warmups 30 --temperature 0 --ignore-eos --percentile-metrics ttft,tpot,itl,e2el --metric-percentiles 50,95,99 --save-result --result-dir results/raw/sessionA/bench --result-filename S1_r1_rep2.json",results/raw/sessionA/bench/S1_r1_rep2.json,ok,achieved=0.95
S1_r1_rep3,A,1785350724.055,1785351038.232,Qwen/Qwen2.5-7B-Instruct,sharegpt,1,1,,on,3,"vllm bench serve --model Qwen/Qwen2.5-7B-Instruct --host 127.0.0.1 --port 8000 --dataset-name sharegpt --num-prompts 200 --request-rate 1 --seed 3 --dataset-path /workspace/ShareGPT_V3_unfiltered_cleaned_split.json --num-warmups 30 --temperature 0 --ignore-eos --percentile-metrics ttft,tpot,itl,e2el --metric-percentiles 50,95,99 --save-result --result-dir results/raw/sessionA/bench --result-filename S1_r1_rep3.json",results/raw/sessionA/bench/S1_r1_rep3.json,ok,achieved=0.95
S1_r2_rep1,A,1785351040.242,1785351280.547,Qwen/Qwen2.5-7B-Instruct,sharegpt,1,2,,on,1,"vllm bench serve --model Qwen/Qwen2.5-7B-Instruct --host 127.0.0.1 --port 8000 --dataset-name sharegpt --num-prompts 200 --request-rate 2 --seed 1 --dataset-path /workspace/ShareGPT_V3_unfiltered_cleaned_split.json --num-warmups 30 --temperature 0 --ignore-eos --percentile-metrics ttft,tpot,itl,e2el --metric-percentiles 50,95,99 --save-result --result-dir results/raw/sessionA/bench --result-filename S1_r2_rep1.json",results/raw/sessionA/bench/S1_r2_rep1.json,ok,achieved=1.68;RATE_SHORTFALL
S1_r2_rep2,A,1785351282.556,1785351487.897,Qwen/Qwen2.5-7B-Instruct,sharegpt,1,2,,on,2,"vllm bench serve --model Qwen/Qwen2.5-7B-Instruct --host 127.0.0.1 --port 8000 --dataset-name sharegpt --num-prompts 200 --request-rate 2 --seed 2 --dataset-path /workspace/ShareGPT_V3_unfiltered_cleaned_split.json --num-warmups 30 --temperature 0 --ignore-eos --percentile-metrics ttft,tpot,itl,e2el --metric-percentiles 50,95,99 --save-result --result-dir results/raw/sessionA/bench --result-filename S1_r2_rep2.json",results/raw/sessionA/bench/S1_r2_rep2.json,ok,achieved=1.71;RATE_SHORTFALL
S1_r2_rep3,A,1785351489.935,1785351699.934,Qwen/Qwen2.5-7B-Instruct,sharegpt,1,2,,on,3,"vllm bench serve --model Qwen/Qwen2.5-7B-Instruct --host 127.0.0.1 --port 8000 --dataset-name sharegpt --num-prompts 200 --request-rate 2 --seed 3 --dataset-path /workspace/ShareGPT_V3_unfiltered_cleaned_split.json --num-warmups 30 --temperature 0 --ignore-eos --percentile-metrics ttft,tpot,itl,e2el --metric-percentiles 50,95,99 --save-result --result-dir results/raw/sessionA/bench --result-filename S1_r2_rep3.json",results/raw/sessionA/bench/S1_r2_rep3.json,ok,achieved=1.75;RATE_SHORTFALL
S1_r3_rep1,A,1785351701.942,1785351895.833,Qwen/Qwen2.5-7B-Instruct,sharegpt,1,3,,on,1,"vllm bench serve --model Qwen/Qwen2.5-7B-Instruct --host 127.0.0.1 --port 8000 --dataset-name sharegpt --num-prompts 200 --request-rate 3 --seed 1 --dataset-path /workspace/ShareGPT_V3_unfiltered_cleaned_split.json --num-warmups 30 --temperature 0 --ignore-eos --percentile-metrics ttft,tpot,itl,e2el --metric-percentiles 50,95,99 --save-result --result-dir results/raw/sessionA/bench --result-filename S1_r3_rep1.json",results/raw/sessionA/bench/S1_r3_rep1.json,ok,achieved=2.27;RATE_SHORTFALL
S1_r3_rep2,A,1785351897.842,1785352074.413,Qwen/Qwen2.5-7B-Instruct,sharegpt,1,3,,on,2,"vllm bench serve --model Qwen/Qwen2.5-7B-Instruct --host 127.0.0.1 --port 8000 --dataset-name sharegpt --num-prompts 200 --request-rate 3 --seed 2 --dataset-path /workspace/ShareGPT_V3_unfiltered_cleaned_split.json --num-warmups 30 --temperature 0 --ignore-eos --percentile-metrics ttft,tpot,itl,e2el --metric-percentiles 50,95,99 --save-result --result-dir results/raw/sessionA/bench --result-filename S1_r3_rep2.json",results/raw/sessionA/bench/S1_r3_rep2.json,ok,achieved=2.31;RATE_SHORTFALL
S1_r3_rep3,A,1785352076.422,1785352255.262,Qwen/Qwen2.5-7B-Instruct,sharegpt,1,3,,on,3,"vllm bench serve --model Qwen/Qwen2.5-7B-Instruct --host 127.0.0.1 --port 8000 --dataset-name sharegpt --num-prompts 200 --request-rate 3 --seed 3 --dataset-path /workspace/ShareGPT_V3_unfiltered_cleaned_split.json --num-warmups 30 --temperature 0 --ignore-eos --percentile-metrics ttft,tpot,itl,e2el --metric-percentiles 50,95,99 --save-result --result-dir results/raw/sessionA/bench --result-filename S1_r3_rep3.json",results/raw/sessionA/bench/S1_r3_rep3.json,ok,achieved=2.43;RATE_SHORTFALL
S1_r4_rep1,A,1785352257.271,1785352436.075,Qwen/Qwen2.5-7B-Instruct,sharegpt,1,4,,on,1,"vllm bench serve --model Qwen/Qwen2.5-7B-Instruct --host 127.0.0.1 --port 8000 --dataset-name sharegpt --num-prompts 200 --request-rate 4 --seed 1 --dataset-path /workspace/ShareGPT_V3_unfiltered_cleaned_split.json --num-warmups 30 --temperature 0 --ignore-eos --percentile-metrics ttft,tpot,itl,e2el --metric-percentiles 50,95,99 --save-result --result-dir results/raw/sessionA/bench --result-filename S1_r4_rep1.json",results/raw/sessionA/bench/S1_r4_rep1.json,ok,achieved=2.73;RATE_SHORTFALL
S1_r4_rep2,A,1785352438.082,1785352595.988,Qwen/Qwen2.5-7B-Instruct,sharegpt,1,4,,on,2,"vllm bench serve --model Qwen/Qwen2.5-7B-Instruct --host 127.0.0.1 --port 8000 --dataset-name sharegpt --num-prompts 200 --request-rate 4 --seed 2 --dataset-path /workspace/ShareGPT_V3_unfiltered_cleaned_split.json --num-warmups 30 --temperature 0 --ignore-eos --percentile-metrics ttft,tpot,itl,e2el --metric-percentiles 50,95,99 --save-result --result-dir results/raw/sessionA/bench --result-filename S1_r4_rep2.json",results/raw/sessionA/bench/S1_r4_rep2.json,ok,achieved=2.80;RATE_SHORTFALL
S1_r4_rep3,A,1785352598.000,1785352760.638,Qwen/Qwen2.5-7B-Instruct,sharegpt,1,4,,on,3,"vllm bench serve --model Qwen/Qwen2.5-7B-Instruct --host 127.0.0.1 --port 8000 --dataset-name sharegpt --num-prompts 200 --request-rate 4 --seed 3 --dataset-path /workspace/ShareGPT_V3_unfiltered_cleaned_split.json --num-warmups 30 --temperature 0 --ignore-eos --percentile-metrics ttft,tpot,itl,e2el --metric-percentiles 50,95,99 --save-result --result-dir results/raw/sessionA/bench --result-filename S1_r4_rep3.json",results/raw/sessionA/bench/S1_r4_rep3.json,ok,achieved=2.97;RATE_SHORTFALL
S1_r5_rep1,A,1785352762.647,1785352920.633,Qwen/Qwen2.5-7B-Instruct,sharegpt,1,5,,on,1,"vllm bench serve --model Qwen/Qwen2.5-7B-Instruct --host 127.0.0.1 --port 8000 --dataset-name sharegpt --num-prompts 200 --request-rate 5 --seed 1 --dataset-path /workspace/ShareGPT_V3_unfiltered_cleaned_split.json --num-warmups 30 --temperature 0 --ignore-eos --percentile-metrics ttft,tpot,itl,e2el --metric-percentiles 50,95,99 --save-result --result-dir results/raw/sessionA/bench --result-filename S1_r5_rep1.json",results/raw/sessionA/bench/S1_r5_rep1.json,ok,achieved=3.02;RATE_SHORTFALL
S1_r5_rep2,A,1785352922.649,1785353070.553,Qwen/Qwen2.5-7B-Instruct,sharegpt,1,5,,on,2,"vllm bench serve --model Qwen/Qwen2.5-7B-Instruct --host 127.0.0.1 --port 8000 --dataset-name sharegpt --num-prompts 200 --request-rate 5 --seed 2 --dataset-path /workspace/ShareGPT_V3_unfiltered_cleaned_split.json --num-warmups 30 --temperature 0 --ignore-eos --percentile-metrics ttft,tpot,itl,e2el --metric-percentiles 50,95,99 --save-result --result-dir results/raw/sessionA/bench --result-filename S1_r5_rep2.json",results/raw/sessionA/bench/S1_r5_rep2.json,ok,achieved=3.21;RATE_SHORTFALL
S1_r5_rep3,A,1785353072.561,1785353225.429,Qwen/Qwen2.5-7B-Instruct,sharegpt,1,5,,on,3,"vllm bench serve --model Qwen/Qwen2.5-7B-Instruct --host 127.0.0.1 --port 8000 --dataset-name sharegpt --num-prompts 200 --request-rate 5 --seed 3 --dataset-path /workspace/ShareGPT_V3_unfiltered_cleaned_split.json --num-warmups 30 --temperature 0 --ignore-eos --percentile-metrics ttft,tpot,itl,e2el --metric-percentiles 50,95,99 --save-result --result-dir results/raw/sessionA/bench --result-filename S1_r5_rep3.json",results/raw/sessionA/bench/S1_r5_rep3.json,ok,achieved=3.37;RATE_SHORTFALL
S1_r6_rep1,A,1785353227.438,1785353388.489,Qwen/Qwen2.5-7B-Instruct,sharegpt,1,6,,on,1,"vllm bench serve --model Qwen/Qwen2.5-7B-Instruct --host 127.0.0.1 --port 8000 --dataset-name sharegpt --num-prompts 200 --request-rate 6 --seed 1 --dataset-path /workspace/ShareGPT_V3_unfiltered_cleaned_split.json --num-warmups 30 --temperature 0 --ignore-eos --percentile-metrics ttft,tpot,itl,e2el --metric-percentiles 50,95,99 --save-result --result-dir results/raw/sessionA/bench --result-filename S1_r6_rep1.json",results/raw/sessionA/bench/S1_r6_rep1.json,ok,achieved=3.05;RATE_SHORTFALL
S1_r6_rep2,A,1785353390.496,1785353532.354,Qwen/Qwen2.5-7B-Instruct,sharegpt,1,6,,on,2,"vllm bench serve --model Qwen/Qwen2.5-7B-Instruct --host 127.0.0.1 --port 8000 --dataset-name sharegpt --num-prompts 200 --request-rate 6 --seed 2 --dataset-path /workspace/ShareGPT_V3_unfiltered_cleaned_split.json --num-warmups 30 --temperature 0 --ignore-eos --percentile-metrics ttft,tpot,itl,e2el --metric-percentiles 50,95,99 --save-result --result-dir results/raw/sessionA/bench --result-filename S1_r6_rep2.json",results/raw/sessionA/bench/S1_r6_rep2.json,ok,achieved=3.56;RATE_SHORTFALL
S1_r6_rep3,A,1785353534.364,1785353685.400,Qwen/Qwen2.5-7B-Instruct,sharegpt,1,6,,on,3,"vllm bench serve --model Qwen/Qwen2.5-7B-Instruct --host 127.0.0.1 --port 8000 --dataset-name sharegpt --num-prompts 200 --request-rate 6 --seed 3 --dataset-path /workspace/ShareGPT_V3_unfiltered_cleaned_split.json --num-warmups 30 --temperature 0 --ignore-eos --percentile-metrics ttft,tpot,itl,e2el --metric-percentiles 50,95,99 --save-result --result-dir results/raw/sessionA/bench --result-filename S1_r6_rep3.json",results/raw/sessionA/bench/S1_r6_rep3.json,ok,achieved=3.49;RATE_SHORTFALL
S1_r8_rep1,A,1785353687.414,1785353846.753,Qwen/Qwen2.5-7B-Instruct,sharegpt,1,8,,on,1,"vllm bench serve --model Qwen/Qwen2.5-7B-Instruct --host 127.0.0.1 --port 8000 --dataset-name sharegpt --num-prompts 200 --request-rate 8 --seed 1 --dataset-path /workspace/ShareGPT_V3_unfiltered_cleaned_split.json --num-warmups 30 --temperature 0 --ignore-eos --percentile-metrics ttft,tpot,itl,e2el --metric-percentiles 50,95,99 --save-result --result-dir results/raw/sessionA/bench --result-filename S1_r8_rep1.json",results/raw/sessionA/bench/S1_r8_rep1.json,ok,achieved=3.17;RATE_SHORTFALL
S1_r8_rep2,A,1785353848.762,1785353985.903,Qwen/Qwen2.5-7B-Instruct,sharegpt,1,8,,on,2,"vllm bench serve --model Qwen/Qwen2.5-7B-Instruct --host 127.0.0.1 --port 8000 --dataset-name sharegpt --num-prompts 200 --request-rate 8 --seed 2 --dataset-path /workspace/ShareGPT_V3_unfiltered_cleaned_split.json --num-warmups 30 --temperature 0 --ignore-eos --percentile-metrics ttft,tpot,itl,e2el --metric-percentiles 50,95,99 --save-result --result-dir results/raw/sessionA/bench --result-filename S1_r8_rep2.json",results/raw/sessionA/bench/S1_r8_rep2.json,ok,achieved=3.94;RATE_SHORTFALL
S1_r8_rep3,A,1785353987.914,1785354144.410,Qwen/Qwen2.5-7B-Instruct,sharegpt,1,8,,on,3,"vllm bench serve --model Qwen/Qwen2.5-7B-Instruct --host 127.0.0.1 --port 8000 --dataset-name sharegpt --num-prompts 200 --request-rate 8 --seed 3 --dataset-path /workspace/ShareGPT_V3_unfiltered_cleaned_split.json --num-warmups 30 --temperature 0 --ignore-eos --percentile-metrics ttft,tpot,itl,e2el --metric-percentiles 50,95,99 --save-result --result-dir results/raw/sessionA/bench --result-filename S1_r8_rep3.json",results/raw/sessionA/bench/S1_r8_rep3.json,ok,achieved=3.50;RATE_SHORTFALL
S1_rinf_rep1,A,1785354146.418,1785354305.706,Qwen/Qwen2.5-7B-Instruct,sharegpt,1,inf,,on,1,"vllm bench serve --model Qwen/Qwen2.5-7B-Instruct --host 127.0.0.1 --port 8000 --dataset-name sharegpt --num-prompts 200 --request-rate inf --seed 1 --dataset-path /workspace/ShareGPT_V3_unfiltered_cleaned_split.json --num-warmups 30 --temperature 0 --ignore-eos --percentile-metrics ttft,tpot,itl,e2el --metric-percentiles 50,95,99 --save-result --result-dir results/raw/sessionA/bench --result-filename S1_rinf_rep1.json",results/raw/sessionA/bench/S1_rinf_rep1.json,ok,achieved=3.23
S1_rinf_rep2,A,1785354307.717,1785354440.501,Qwen/Qwen2.5-7B-Instruct,sharegpt,1,inf,,on,2,"vllm bench serve --model Qwen/Qwen2.5-7B-Instruct --host 127.0.0.1 --port 8000 --dataset-name sharegpt --num-prompts 200 --request-rate inf --seed 2 --dataset-path /workspace/ShareGPT_V3_unfiltered_cleaned_split.json --num-warmups 30 --temperature 0 --ignore-eos --percentile-metrics ttft,tpot,itl,e2el --metric-percentiles 50,95,99 --save-result --result-dir results/raw/sessionA/bench --result-filename S1_rinf_rep2.json",results/raw/sessionA/bench/S1_rinf_rep2.json,ok,achieved=4.57
S1_rinf_rep3,A,1785354442.514,1785354597.089,Qwen/Qwen2.5-7B-Instruct,sharegpt,1,inf,,on,3,"vllm bench serve --model Qwen/Qwen2.5-7B-Instruct --host 127.0.0.1 --port 8000 --dataset-name sharegpt --num-prompts 200 --request-rate inf --seed 3 --dataset-path /workspace/ShareGPT_V3_unfiltered_cleaned_split.json --num-warmups 30 --temperature 0 --ignore-eos --percentile-metrics ttft,tpot,itl,e2el --metric-percentiles 50,95,99 --save-result --result-dir results/raw/sessionA/bench --result-filename S1_rinf_rep3.json",results/raw/sessionA/bench/S1_rinf_rep3.json,ok,achieved=3.56
S2_r1_rep1,A,1785354599.100,1785354901.171,Qwen/Qwen2.5-7B-Instruct,random,1,1,,on,1,"vllm bench serve --model Qwen/Qwen2.5-7B-Instruct --host 127.0.0.1 --port 8000 --dataset-name random --num-prompts 200 --request-rate 1 --seed 1 --random-input-len 256 --random-output-len 128 --num-warmups 30 --temperature 0 --ignore-eos --percentile-metrics ttft,tpot,itl,e2el --metric-percentiles 50,95,99 --save-result --result-dir results/raw/sessionA/bench --result-filename S2_r1_rep1.json",results/raw/sessionA/bench/S2_r1_rep1.json,ok,achieved=0.98
S2_r1_rep2,A,1785354903.179,1785355235.761,Qwen/Qwen2.5-7B-Instruct,random,1,1,,on,2,"vllm bench serve --model Qwen/Qwen2.5-7B-Instruct --host 127.0.0.1 --port 8000 --dataset-name random --num-prompts 200 --request-rate 1 --seed 2 --random-input-len 256 --random-output-len 128 --num-warmups 30 --temperature 0 --ignore-eos --percentile-metrics ttft,tpot,itl,e2el --metric-percentiles 50,95,99 --save-result --result-dir results/raw/sessionA/bench --result-filename S2_r1_rep2.json",results/raw/sessionA/bench/S2_r1_rep2.json,ok,achieved=0.98
S2_r1_rep3,A,1785355237.769,1785355567.524,Qwen/Qwen2.5-7B-Instruct,random,1,1,,on,3,"vllm bench serve --model Qwen/Qwen2.5-7B-Instruct --host 127.0.0.1 --port 8000 --dataset-name random --num-prompts 200 --request-rate 1 --seed 3 --random-input-len 256 --random-output-len 128 --num-warmups 30 --temperature 0 --ignore-eos --percentile-metrics ttft,tpot,itl,e2el --metric-percentiles 50,95,99 --save-result --result-dir results/raw/sessionA/bench --result-filename S2_r1_rep3.json",results/raw/sessionA/bench/S2_r1_rep3.json,ok,achieved=0.98
S2_r2_rep1,A,1785355569.534,1785355795.876,Qwen/Qwen2.5-7B-Instruct,random,1,2,,on,1,"vllm bench serve --model Qwen/Qwen2.5-7B-Instruct --host 127.0.0.1 --port 8000 --dataset-name random --num-prompts 200 --request-rate 2 --seed 1 --random-input-len 256 --random-output-len 128 --num-warmups 30 --temperature 0 --ignore-eos --percentile-metrics ttft,tpot,itl,e2el --metric-percentiles 50,95,99 --save-result --result-dir results/raw/sessionA/bench --result-filename S2_r2_rep1.json",results/raw/sessionA/bench/S2_r2_rep1.json,ok,achieved=1.92
S2_r2_rep2,A,1785355797.884,1785355998.574,Qwen/Qwen2.5-7B-Instruct,random,1,2,,on,2,"vllm bench serve --model Qwen/Qwen2.5-7B-Instruct --host 127.0.0.1 --port 8000 --dataset-name random --num-prompts 200 --request-rate 2 --seed 2 --random-input-len 256 --random-output-len 128 --num-warmups 30 --temperature 0 --ignore-eos --percentile-metrics ttft,tpot,itl,e2el --metric-percentiles 50,95,99 --save-result --result-dir results/raw/sessionA/bench --result-filename S2_r2_rep2.json",results/raw/sessionA/bench/S2_r2_rep2.json,ok,achieved=1.92
S2_r2_rep3,A,1785356000.582,1785356193.461,Qwen/Qwen2.5-7B-Instruct,random,1,2,,on,3,"vllm bench serve --model Qwen/Qwen2.5-7B-Instruct --host 127.0.0.1 --port 8000 --dataset-name random --num-prompts 200 --request-rate 2 --seed 3 --random-input-len 256 --random-output-len 128 --num-warmups 30 --temperature 0 --ignore-eos --percentile-metrics ttft,tpot,itl,e2el --metric-percentiles 50,95,99 --save-result --result-dir results/raw/sessionA/bench --result-filename S2_r2_rep3.json",results/raw/sessionA/bench/S2_r2_rep3.json,ok,achieved=1.92
S2_r3_rep1,A,1785356195.470,1785356355.212,Qwen/Qwen2.5-7B-Instruct,random,1,3,,on,1,"vllm bench serve --model Qwen/Qwen2.5-7B-Instruct --host 127.0.0.1 --port 8000 --dataset-name random --num-prompts 200 --request-rate 3 --seed 1 --random-input-len 256 --random-output-len 128 --num-warmups 30 --temperature 0 --ignore-eos --percentile-metrics ttft,tpot,itl,e2el --metric-percentiles 50,95,99 --save-result --result-dir results/raw/sessionA/bench --result-filename S2_r3_rep1.json",results/raw/sessionA/bench/S2_r3_rep1.json,ok,achieved=2.82
S2_r3_rep2,A,1785356357.220,1785356529.968,Qwen/Qwen2.5-7B-Instruct,random,1,3,,on,2,"vllm bench serve --model Qwen/Qwen2.5-7B-Instruct --host 127.0.0.1 --port 8000 --dataset-name random --num-prompts 200 --request-rate 3 --seed 2 --random-input-len 256 --random-output-len 128 --num-warmups 30 --temperature 0 --ignore-eos --percentile-metrics ttft,tpot,itl,e2el --metric-percentiles 50,95,99 --save-result --result-dir results/raw/sessionA/bench --result-filename S2_r3_rep2.json",results/raw/sessionA/bench/S2_r3_rep2.json,ok,achieved=2.83
S2_r3_rep3,A,1785356531.977,1785356698.153,Qwen/Qwen2.5-7B-Instruct,random,1,3,,on,3,"vllm bench serve --model Qwen/Qwen2.5-7B-Instruct --host 127.0.0.1 --port 8000 --dataset-name random --num-prompts 200 --request-rate 3 --seed 3 --random-input-len 256 --random-output-len 128 --num-warmups 30 --temperature 0 --ignore-eos --percentile-metrics ttft,tpot,itl,e2el --metric-percentiles 50,95,99 --save-result --result-dir results/raw/sessionA/bench --result-filename S2_r3_rep3.json",results/raw/sessionA/bench/S2_r3_rep3.json,ok,achieved=2.82
